MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,TERRITORIO#es,TERRITORIO_CODE,SEXO#es,SEXO_CODE,EDAD#es,EDAD_CODE,TASA_TURISTICA_FINALIDAD#es,TASA_TURISTICA_FINALIDAD_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife - Sur,ES709A3,Total,_T,Total,_T,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife - Sur,ES709A3,Total,_T,Total,_T,Total,_T,123304,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife - Norte,ES709A2,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,28.30,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife - Norte,ES709A2,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,25607,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife - Norte,ES709A2,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,3.08,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife - Norte,ES709A2,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,2784,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife - Norte,ES709A2,Total,_T,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,19.02,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife - Norte,ES709A2,Total,_T,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,17208,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife - Norte,ES709A2,Total,_T,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,13.70,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife - Norte,ES709A2,Total,_T,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,12393,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife - Norte,ES709A2,Total,_T,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,35.91,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife - Norte,ES709A2,Total,_T,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,32493,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife - Norte,ES709A2,Total,_T,Total,_T,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife - Norte,ES709A2,Total,_T,Total,_T,Total,_T,90485,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife - Área Metropolitana,ES709A1,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,32.16,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife - Área Metropolitana,ES709A1,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,60167,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife - Área Metropolitana,ES709A1,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,12.15,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife - Área Metropolitana,ES709A1,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,22733,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife - Área Metropolitana,ES709A1,Total,_T,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,17.87,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife - Área Metropolitana,ES709A1,Total,_T,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,33431,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife - Área Metropolitana,ES709A1,Total,_T,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,6.80,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife - Área Metropolitana,ES709A1,Total,_T,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,12728,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife - Área Metropolitana,ES709A1,Total,_T,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,31.01,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife - Área Metropolitana,ES709A1,Total,_T,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,58000,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife - Área Metropolitana,ES709A1,Total,_T,Total,_T,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife - Área Metropolitana,ES709A1,Total,_T,Total,_T,Total,_T,187058,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife,ES709,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,28.73,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife,ES709,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,115175,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife,ES709,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,7.58,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife,ES709,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,30371,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife,ES709,Total,_T,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,21.54,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife,ES709,Total,_T,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,86354,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife,ES709,Total,_T,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,10.72,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife,ES709,Total,_T,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,42982,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife,ES709,Total,_T,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,31.42,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife,ES709,Total,_T,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,125966,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Tenerife,ES709,Total,_T,Total,_T,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Tenerife,ES709,Total,_T,Total,_T,Total,_T,400847,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Lanzarote,ES708,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,34.79,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Lanzarote,ES708,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,24705,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Lanzarote,ES708,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,3.12,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Lanzarote,ES708,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,2213,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Lanzarote,ES708,Total,_T,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,29.22,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Lanzarote,ES708,Total,_T,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,20751,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Lanzarote,ES708,Total,_T,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,8.08,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Lanzarote,ES708,Total,_T,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,5736,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Lanzarote,ES708,Total,_T,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,24.80,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Lanzarote,ES708,Total,_T,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,17617,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Lanzarote,ES708,Total,_T,Total,_T,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Lanzarote,ES708,Total,_T,Total,_T,Total,_T,71023,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,La Palma,ES707,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,19.11,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,La Palma,ES707,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,4794,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,La Palma,ES707,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,6.03,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,La Palma,ES707,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,1511,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,La Palma,ES707,Total,_T,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,26.02,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,La Palma,ES707,Total,_T,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,6525,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,La Palma,ES707,Total,_T,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,24.01,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,La Palma,ES707,Total,_T,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,6022,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,La Palma,ES707,Total,_T,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,24.83,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,La Palma,ES707,Total,_T,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,6228,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,La Palma,ES707,Total,_T,Total,_T,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,La Palma,ES707,Total,_T,Total,_T,Total,_T,25081,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,La Gomera,ES706,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,40.24,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,La Gomera,ES706,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,3967,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,La Gomera,ES706,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,5.05,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,La Gomera,ES706,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,498,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,La Gomera,ES706,Total,_T,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,14.80,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,La Gomera,ES706,Total,_T,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,1459,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,La Gomera,ES706,Total,_T,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,7.98,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,La Gomera,ES706,Total,_T,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,786,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,La Gomera,ES706,Total,_T,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,31.92,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,La Gomera,ES706,Total,_T,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,3147,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,La Gomera,ES706,Total,_T,Total,_T,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,La Gomera,ES706,Total,_T,Total,_T,Total,_T,9857,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Gran Canaria - Sur,ES705A3,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,44.65,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Gran Canaria - Sur,ES705A3,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,27704,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Gran Canaria - Sur,ES705A3,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,1.79,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Gran Canaria - Sur,ES705A3,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,1109,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Gran Canaria - Sur,ES705A3,Total,_T,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,24.95,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Gran Canaria - Sur,ES705A3,Total,_T,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,15481,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Gran Canaria - Sur,ES705A3,Total,_T,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,9.31,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Gran Canaria - Sur,ES705A3,Total,_T,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,5774,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Gran Canaria - Sur,ES705A3,Total,_T,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,19.30,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Gran Canaria - Sur,ES705A3,Total,_T,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,11973,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Gran Canaria - Sur,ES705A3,Total,_T,Total,_T,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Gran Canaria - Sur,ES705A3,Total,_T,Total,_T,Total,_T,62041,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Gran Canaria - Norte,ES705A2,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,35.19,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Gran Canaria - Norte,ES705A2,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,10996,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Gran Canaria - Norte,ES705A2,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,3.07,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Gran Canaria - Norte,ES705A2,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,958,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Gran Canaria - Norte,ES705A2,Total,_T,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,25.68,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Gran Canaria - Norte,ES705A2,Total,_T,Total,_T,Mejorar las condiciones de vida en Canarias,MEJORAR_CONDICIONES_VIDA_CANARIAS,8024,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Gran Canaria - Norte,ES705A2,Total,_T,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,4.62,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Gran Canaria - Norte,ES705A2,Total,_T,Total,_T,Mejorar el desarrollo económico de Canarias,MEJORAR_DESARROLLO_ECONOMICO_CANARIAS,1444,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Gran Canaria - Norte,ES705A2,Total,_T,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,31.43,,,Dato estimado con menos de 20 observaciones muestrales
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Gran Canaria - Norte,ES705A2,Total,_T,Total,_T,Mejorar y proteger el medio ambiente en Canarias,MEJORAR_PROTEGER_MEDIO_AMBIENTE_CANARIAS,9821,,,Dato estimado con menos de 20 observaciones muestrales
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Gran Canaria - Norte,ES705A2,Total,_T,Total,_T,Total,_T,100.00,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Gran Canaria - Norte,ES705A2,Total,_T,Total,_T,Total,_T,31242,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Gran Canaria - Área Metropolitana,ES705A1,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,28.54,,,
Población,POBLACION,2024 Segundo trimestre,2024-Q2,Gran Canaria - Área Metropolitana,ES705A1,Total,_T,Total,_T,Cualquier fin al servicio de Canarias,CUALQUIER_FIN_SERVICIO_CANARIAS,49514,,,
Población. Porcentaje,POBLACION_PORCENTAJE,2024 Segundo trimestre,2024-Q2,Gran Canaria - Área Metropolitana,ES705A1,Total,_T,Total,_T,Mejorar la calidad de los entornos turísticos,MEJORAR_CALIDAD_ENTORNOS_TURISTICOS,1.77,,,Dato estimado con menos de 20 observaciones muestrales
